name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
thailand,2011-01-01,31.4,19.9,25.2,30.5,19.9,25,14.2,52.7,0,0,0,,,,,11,355.9,1009.6,22.8,9.2,229.4,19.8,8,,2011-01-01T06:41:26,2011-01-01T18:01:09,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2011-01-02,31.4,20.7,26,32.4,20.7,26.2,16.9,59,0,0,0,,,,46.4,21.3,78.2,1009.8,27.8,8.7,227.1,19.6,8,,2011-01-02T06:41:49,2011-01-02T18:01:43,0.92,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2011-01-03,31.8,23,27,32.9,23,27.5,18.1,59.7,0,0,0,,,,,11.2,344.8,1010.2,20.3,8.4,227.6,19.6,8,,2011-01-03T06:42:11,2011-01-03T18:02:18,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2011-01-04,32.5,22,27.6,33.5,22,27.9,18.1,58.1,0,0,0,,,,37.1,14.9,39,1010,39.7,9,229.6,19.9,8,,2011-01-04T06:42:32,2011-01-04T18:02:52,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2011-01-05,32.1,22.7,27.6,33.7,22.7,28.2,18.8,59.8,0,0,0,,,,42.5,14,45.5,1009.7,61.9,9.8,188.2,16.3,6,,2011-01-05T06:42:52,2011-01-05T18:03:26,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999,48460099999"
thailand,2011-01-06,32.2,24.2,28.6,34.2,24.2,29.4,19.1,57.7,0,0,0,,,,,18.5,64,1010.4,79.5,9.9,183.7,15.8,7,,2011-01-06T06:43:11,2011-01-06T18:04:01,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2011-01-07,30.2,24.2,27.4,31.6,24.2,27.9,17.9,57,0,0,0,,,,42.5,19.8,72.6,1011.4,81,9.9,190.4,16.6,7,,2011-01-07T06:43:29,2011-01-07T18:04:36,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2011-01-08,30,22.2,26.1,30.9,22.2,26.4,17.5,59.8,0,0,0,,,,50,15.2,39.8,1011.4,34.2,9.7,235.8,20.2,8,,2011-01-08T06:43:46,2011-01-08T18:05:10,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2011-01-09,31.3,21.7,26.4,31.9,21.7,26.8,17.5,59.6,0,0,0,,,,38.9,13.9,30.9,1010.5,33.5,9.5,235.8,20.4,8,,2011-01-09T06:44:03,2011-01-09T18:05:45,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2011-01-10,29.7,22.2,25.6,30.5,22.2,25.8,17.2,60.4,0,0,0,,,,38.9,16.2,69.3,1010.4,36.4,9.7,235.4,20.3,8,,2011-01-10T06:44:18,2011-01-10T18:06:19,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
