,Month,temp,humidity,dew,precipcover,tempmax,tempmin,windspeed
0,2009-01-01,6.738709677419355,48.15161290322581,-4.4,10.888064516129033,15.0,0.6,18.370967741935484
1,2009-02-01,7.796428571428571,50.07857142857143,-2.967857142857143,7.441071428571428,23.6,1.5,19.678571428571427
2,2009-03-01,9.916129032258064,48.980645161290326,-1.2290322580645159,10.080967741935483,23.0,0.1,21.845161290322583
3,2009-04-01,15.706666666666667,53.99666666666667,5.4766666666666675,8.055666666666667,25.2,5.6,21.043333333333333
4,2009-05-01,20.048387096774192,63.97741935483871,12.393548387096773,14.785806451612904,28.8,12.6,19.206451612903226
5,2009-06-01,22.473333333333336,71.90333333333334,16.94,11.250333333333334,31.5,15.9,17.709999999999997
6,2009-07-01,26.248387096774195,72.4,20.687096774193545,12.903870967741934,33.3,20.5,19.980645161290322
7,2009-08-01,26.574193548387097,69.2741935483871,20.23225806451613,10.350000000000001,32.9,17.7,16.370967741935484
8,2009-09-01,23.0,63.986666666666665,15.479999999999999,6.5280000000000005,30.5,17.8,15.673333333333334
9,2009-10-01,18.93548387096774,64.18387096774194,11.564516129032258,14.516451612903225,26.5,12.9,17.14516129032258
10,2009-11-01,13.43,63.32333333333334,6.213333333333334,12.917666666666667,25.3,5.7,16.12
11,2009-12-01,9.006451612903225,51.46451612903226,-1.0806451612903225,5.914193548387097,17.1,1.3,17.638709677419353
12,2010-01-01,7.003225806451613,41.54516129032258,-5.877419354838709,2.1509677419354842,17.5,0.0,17.66774193548387
13,2010-02-01,6.485714285714286,60.050000000000004,-1.2678571428571428,9.97,19.6,-0.3,17.085714285714285
14,2010-03-01,9.074193548387097,61.00645161290323,1.3741935483870968,17.47290322580645,21.2,1.1,21.799999999999997
15,2010-04-01,12.356666666666666,62.10333333333333,4.6866666666666665,21.111333333333334,24.6,1.7,19.846666666666668
16,2010-05-01,18.91290322580645,60.05483870967742,10.370967741935484,15.860645161290323,29.3,11.8,20.0
17,2010-06-01,23.59,67.53333333333333,16.93,16.111666666666668,31.5,13.7,18.846666666666668
18,2010-07-01,27.958064516129035,70.73870967741935,21.961290322580645,12.903225806451612,35.8,20.1,21.08709677419355
19,2010-08-01,29.606451612903225,67.73225806451612,22.84193548387097,5.511290322580645,37.1,24.1,20.067741935483873
20,2010-09-01,25.133333333333333,68.07666666666667,18.506666666666668,16.666666666666668,35.0,14.1,17.766666666666666
21,2010-10-01,18.851612903225806,68.63548387096773,12.709677419354838,15.456774193548386,28.0,9.3,15.509677419354839
22,2010-11-01,13.5,56.47666666666667,4.503333333333333,7.7780000000000005,22.0,7.1,15.776666666666667
23,2010-12-01,9.883870967741935,50.07419354838709,-0.667741935483871,7.124193548387097,23.5,2.2,17.4741935483871
24,2011-01-01,5.058064516129033,36.9483870967742,-9.19032258064516,0.5377419354838711,11.8,-1.0,17.60967741935484
25,2011-02-01,7.014285714285714,52.271428571428565,-2.875,5.208571428571429,20.4,-0.3,18.87857142857143
26,2011-03-01,8.061290322580644,47.32258064516129,-3.5,6.854838709677419,19.5,0.6,20.419354838709676
27,2011-04-01,14.486666666666668,50.656666666666666,3.49,4.861000000000001,24.6,4.5,23.673333333333336
28,2011-05-01,18.503225806451614,63.50322580645161,10.793548387096775,17.74225806451613,29.1,12.2,19.567741935483873
29,2011-06-01,22.73,71.20333333333333,17.026666666666667,15.417333333333334,34.3,11.8,17.529999999999998
30,2011-07-01,27.261290322580646,68.04193548387097,20.68064516129032,14.112903225806452,33.8,18.1,20.970967741935485
31,2011-08-01,27.44516129032258,71.31612903225808,21.561290322580643,13.979354838709678,34.9,19.4,17.712903225806453
32,2011-09-01,25.116666666666667,68.33333333333333,18.666666666666668,13.750666666666666,32.3,16.3,21.33
33,2011-10-01,19.461290322580645,61.38387096774194,11.348387096774195,7.930000000000001,29.3,11.5,17.148387096774194
34,2011-11-01,14.870000000000001,59.05333333333333,6.4366666666666665,9.028333333333334,22.1,7.3,14.22
35,2011-12-01,7.474193548387096,49.05806451612903,-3.2548387096774194,3.3603225806451613,18.7,2.2,16.287096774193547
36,2012-01-01,4.77741935483871,44.12903225806452,-7.251612903225807,1.7470967741935484,10.5,-0.9,19.299999999999997
37,2012-02-01,5.413793103448276,49.27241379310345,-5.555172413793104,7.327931034482758,14.8,-0.7,18.63103448275862
38,2012-03-01,8.783870967741937,59.59032258064516,0.20322580645161278,12.500967741935485,18.8,2.3,21.16774193548387
39,2012-04-01,14.4,62.79,6.543333333333334,14.444666666666668,25.6,5.2,20.646666666666665
40,2012-05-01,19.532258064516128,65.80322580645162,12.35483870967742,15.189032258064517,26.8,12.1,21.11935483870968
41,2012-06-01,21.316666666666666,73.00333333333333,16.066666666666666,15.138666666666666,30.0,15.4,20.196666666666665
42,2012-07-01,26.35483870967742,75.49354838709678,21.5,9.811935483870968,34.8,17.4,19.190322580645162
43,2012-08-01,29.016129032258064,69.7290322580645,22.70967741935484,3.898709677419355,35.3,23.1,20.345161290322583
44,2012-09-01,26.123333333333335,73.24666666666667,20.740000000000002,15.555,32.8,18.4,19.266666666666666
45,2012-10-01,19.406451612903226,65.0,12.22258064516129,10.484193548387097,30.7,12.0,18.193548387096776
46,2012-11-01,12.643333333333334,58.803333333333335,4.136666666666667,7.917,21.3,4.9,16.93
47,2012-12-01,7.267741935483872,52.08064516129032,-2.8225806451612905,3.495483870967742,18.0,0.3,18.38064516129032
48,2013-01-01,5.480645161290322,47.95483870967742,-5.451612903225806,1.2100000000000002,14.1,-2.9,18.358064516129033
49,2013-02-01,6.103571428571429,48.11785714285714,-5.042857142857143,2.5292857142857144,20.3,-0.4,21.099999999999998
50,2013-03-01,12.038709677419355,54.97096774193548,2.4225806451612906,2.9574193548387098,24.7,3.6,23.687096774193545
51,2013-04-01,15.110000000000001,55.656666666666666,5.366666666666666,5.278333333333333,23.0,5.7,24.6
52,2013-05-01,19.706451612903226,61.61290322580645,11.345161290322581,7.392580645161291,27.8,10.6,20.993548387096773
53,2013-06-01,22.813333333333333,74.63000000000001,17.78666666666667,19.583000000000002,29.8,14.8,17.663333333333334
54,2013-07-01,27.190322580645162,73.12258064516129,21.758064516129032,10.75258064516129,34.8,21.1,18.51290322580645
55,2013-08-01,29.116129032258065,69.83548387096775,22.806451612903224,6.182903225806452,37.3,20.3,18.280645161290323
56,2013-09-01,25.076666666666664,69.86666666666666,18.873333333333335,7.361666666666666,35.3,15.8,18.35
57,2013-10-01,19.75483870967742,72.47419354838709,14.193548387096774,6.99,31.2,12.3,19.067741935483873
58,2013-11-01,13.503333333333334,55.833333333333336,4.266666666666667,2.9166666666666665,21.2,6.0,18.033333333333335
59,2013-12-01,8.274193548387096,52.11612903225806,-1.635483870967742,2.554193548387097,17.1,0.7,17.322580645161292
60,2014-01-01,6.312903225806451,45.44193548387097,-5.248387096774193,2.4193548387096775,15.3,0.7,19.996774193548386
61,2014-02-01,5.903571428571429,52.346428571428575,-3.875,11.161071428571429,18.2,-0.7,19.849999999999998
