name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2013-01-01,32.8,24.1,27.5,38.4,24.1,30.1,23.8,81.6,68.47,100,8.33,rain,,,,19.9,15.9,1008.6,88.9,10.3,131,11.3,5,,2013-01-01T07:06:41,2013-01-01T19:09:33,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2013-01-02,31.5,24,27,38.1,24,29,24,84.6,6.762,100,8.33,rain,,,,17.1,305.5,1009.6,82.9,9.8,119.1,10.3,4,,2013-01-02T07:07:09,2013-01-02T19:10:01,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2013-01-03,32.4,24.9,27.2,38.2,24.9,29.6,24.4,85.5,3.473,100,4.17,rain,,,,16.2,7,1009.8,84.9,10.3,109,9.3,3,,2013-01-03T07:07:36,2013-01-03T19:10:29,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WIDD,WMKJ,WSSL"
Singapore,2013-01-04,31.4,24.9,27.8,36.8,24.9,30.6,24,80.6,0.695,100,4.17,rain,,,,21.1,22.8,1008.7,87.4,10.9,106.9,9.2,4,,2013-01-04T07:08:03,2013-01-04T19:10:57,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2013-01-05,31.6,25.9,28.1,37.7,25.9,31,24,79.2,0,0,0,,,,,23.5,2.7,1008.1,83.8,10.8,126.2,10.8,4,,2013-01-05T07:08:29,2013-01-05T19:11:25,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2013-01-06,33.2,24.7,28.4,38.2,24.7,31.2,23.5,75.9,0,0,0,,,,,16.3,357.5,1008.2,87.2,10.8,246.3,21.1,8,,2013-01-06T07:08:55,2013-01-06T19:11:52,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2013-01-07,34.9,25.9,29.8,38.5,25.9,32.6,22.8,68.9,0,0,0,,,,,23.6,316.2,1008.3,87.7,10.7,144.4,12.5,4,,2013-01-07T07:09:21,2013-01-07T19:12:18,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2013-01-08,33.2,24.9,27.6,38.7,24.9,30.1,23.8,80.8,17.364,100,4.17,rain,,,61.2,31.5,329.1,1009.1,85.6,10.1,137.9,11.9,5,,2013-01-08T07:09:46,2013-01-08T19:12:45,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2013-01-09,32.8,24.1,27.1,37.3,24.1,28.7,23.6,82.3,36.463,100,8.33,rain,,,,19.3,344.3,1009.4,86.8,10.1,89.9,7.7,3,,2013-01-09T07:10:10,2013-01-09T19:13:10,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2013-01-10,31.3,24.8,27.4,35.7,24.8,29.4,23.1,78.2,0,0,0,,,,,18.9,354.7,1009.6,90,10.2,138,12,5,,2013-01-10T07:10:34,2013-01-10T19:13:36,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
