name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
thailand,2016-08-15,32.8,27.2,29.2,41.8,30.8,34.1,24.3,75.7,3.563,100,8.33,rain,0,0,62.3,27.4,232,1004.2,62.4,9.4,205.7,17.7,7,,2016-08-15T06:04:54,2016-08-15T18:39:47,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-16,32.7,26.7,29.9,42.3,29.9,35.8,25,75.8,1.32,100,8.33,rain,0,0,54.4,23.1,216.5,1004.5,65.2,9.6,179.1,15.4,6,,2016-08-16T06:05:02,2016-08-16T18:39:15,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-17,34,27.2,30.5,45.2,31.5,37.5,25.6,75.9,0,0,0,,0,0,50.4,21,225,1004.7,48.3,9.5,216.5,18.8,8,,2016-08-17T06:05:09,2016-08-17T18:38:42,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-18,34.2,28,30.5,41.6,31.7,36.4,24.5,70.8,8.573,100,8.33,rain,0,0,53.6,24,248.6,1003.5,48.9,9.5,171,14.9,6,,2016-08-18T06:05:16,2016-08-18T18:38:08,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-19,32.7,27.8,30.2,39.5,31.6,35.4,24,70,2.035,100,4.17,rain,0,0,47.9,23.1,233.1,1002.6,51.7,9.4,227.2,19.7,8,,2016-08-19T06:05:23,2016-08-19T18:37:34,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-20,34.5,28.2,30.9,43.6,32,37.5,24.9,71.3,0.049,100,4.17,rain,0,0,47.5,26.4,214.3,1004.6,46.2,9.5,216.7,18.6,7,,2016-08-20T06:05:29,2016-08-20T18:36:59,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-21,34.7,26,30.7,43.4,26,36.3,24.5,71.1,1.766,100,12.5,rain,0,0,50,21.3,236.1,1006.1,45.4,9.6,290.1,25.1,10,,2016-08-21T06:05:35,2016-08-21T18:36:23,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-22,35.5,27,31,43.2,30,36.9,24.6,70.4,0,0,0,,0,0,40,20.9,260.6,1005.1,41.9,9.6,283.3,24.5,10,,2016-08-22T06:05:41,2016-08-22T18:35:47,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-23,35.2,26.7,30.5,44.5,29.8,36.2,24.7,72.4,26.218,100,8.33,rain,0,0,40.7,20.4,255.7,1003.8,51.8,9.3,157,13.5,6,,2016-08-23T06:05:46,2016-08-23T18:35:11,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-24,34.2,24.7,30,44.2,24.7,35.9,25.2,76.8,13.21,100,16.67,rain,0,0,32,21.7,247.4,1003.2,56.7,8.8,194.4,16.8,7,,2016-08-24T06:05:51,2016-08-24T18:34:34,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-25,33.7,24.7,28.5,43.9,24.7,32.4,25.3,84.4,81.714,100,16.67,rain,0,0,29.9,19.1,270.1,1004.9,70.4,8.2,182.7,15.8,6,,2016-08-25T06:05:56,2016-08-25T18:33:56,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-26,34,26,29.7,44.3,26,34.9,25.4,79,4.648,100,16.67,rain,0,0,26.6,15.2,220.1,1006.3,48.8,9.2,212,18.3,7,,2016-08-26T06:06:01,2016-08-26T18:33:18,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-27,33.7,27.2,30.5,44.4,32,38.1,26,77.5,0,0,0,,0,0,35.3,16.6,168.7,1007.7,48.7,9.7,158.7,13.7,6,,2016-08-27T06:06:05,2016-08-27T18:32:39,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-28,32.2,26,29,39.8,26,34.6,25.7,83.1,15.88,100,16.67,rain,0,0,37.1,13,271.8,1008.2,59.4,9.3,136.2,11.8,5,,2016-08-28T06:06:09,2016-08-28T18:32:00,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2016-08-29,32.7,26,29,41.6,26,34.4,25.4,81.5,6.355,100,16.67,rain,0,0,29.9,17.5,190.1,1006.9,54.2,9.4,161.8,14,6,,2016-08-29T06:06:12,2016-08-29T18:31:20,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
