name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2011-01-01,30.4,24.7,27.1,35.5,24.7,29.3,23.9,83.4,0,0,0,,,,,22.4,15.3,1006.9,84.7,10.4,106.5,9.3,4,,2011-01-01T07:06:27,2011-01-01T19:09:19,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2011-01-02,31.9,25.6,27.9,36.8,25.6,30.4,23.9,79.6,0,0,0,,,,,24.3,16.8,1007.5,83.1,10.3,111.8,9.6,4,,2011-01-02T07:06:55,2011-01-02T19:09:47,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2011-01-03,30.4,24.5,26.2,35.6,24.5,27.2,23.8,86.9,0.695,100,4.17,rain,,,,24.6,3.6,1008.3,83.9,9.9,126.5,11,5,,2011-01-03T07:07:23,2011-01-03T19:10:16,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2011-01-04,31.9,24.9,27.7,37.2,24.9,30.1,23.6,79.6,10.331,100,4.17,rain,,,,23.9,0.6,1007.5,87.6,10.3,149.7,12.9,6,,2011-01-04T07:07:50,2011-01-04T19:10:44,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2011-01-05,32.9,24.3,27.6,38.5,24.3,29.7,23.7,80.1,1.042,100,8.33,rain,,,,18.4,352.6,1006.7,85.8,10.3,98.9,8.6,4,,2011-01-05T07:08:16,2011-01-05T19:11:11,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2011-01-06,28.9,24,25.5,33.1,24,26.2,23.5,88.7,85.776,100,12.5,rain,,,,14.6,350.8,1008.1,86.8,9.9,89.2,7.6,3,,2011-01-06T07:08:43,2011-01-06T19:11:39,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2011-01-07,26.7,23.9,25.2,29.2,23.9,25.3,23.1,88.2,0.347,100,4.17,rain,,,,11.9,340.3,1008.6,84,10.8,93.5,8.1,4,,2011-01-07T07:09:08,2011-01-07T19:12:06,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2011-01-08,30.6,23.9,26.2,35,23.9,27.5,22.9,82.6,0.174,100,4.17,rain,,,,25.4,356.9,1008,88.7,10.7,126.1,11,4,,2011-01-08T07:09:34,2011-01-08T19:12:32,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2011-01-09,29,24.6,26.5,33.3,24.6,28.2,23.3,82.8,0,0,0,,,,,17.2,356.9,1007.6,83.7,10.3,123.2,10.4,4,,2011-01-09T07:09:58,2011-01-09T19:12:58,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2011-01-10,25.9,23.4,25,25.9,23.4,25,23.5,91,26.827,100,29.17,rain,,,,12.1,307.4,1007.8,93.4,7.6,86.2,7.4,3,,2011-01-10T07:10:22,2011-01-10T19:13:23,0.19,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
