datetime,temp,humidity
2009-01-05,16.32857142857143,62.84285714285714
2009-01-12,15.271428571428572,62.34285714285714
2009-01-19,17.014285714285712,75.5
2009-01-26,15.22857142857143,73.84285714285714
2009-02-02,20.0,80.77142857142857
2009-02-09,23.099999999999998,75.95714285714287
2009-02-16,23.214285714285715,82.35714285714286
2009-02-23,22.885714285714283,86.77142857142857
2009-03-02,16.97142857142857,79.2
2009-03-09,19.842857142857145,75.18571428571428
2009-03-16,23.314285714285713,84.05714285714285
2009-03-23,24.442857142857143,80.52857142857144
2009-03-30,20.442857142857143,83.78571428571429
2009-04-06,23.3,78.54285714285713
2009-04-13,27.057142857142857,80.24285714285715
2009-04-20,27.099999999999998,70.94285714285715
2009-04-27,24.75714285714286,78.04285714285713
2009-05-04,25.542857142857144,82.48571428571428
2009-05-11,27.442857142857143,82.0
2009-05-18,27.728571428571428,77.65714285714286
2009-05-25,28.071428571428573,74.77142857142857
2009-06-01,28.485714285714288,75.62857142857142
2009-06-08,31.085714285714285,68.31428571428572
2009-06-15,30.414285714285715,74.04285714285713
2009-06-22,30.17142857142857,74.31428571428572
2009-06-29,29.314285714285713,75.25714285714285
2009-07-06,29.428571428571427,75.11428571428571
2009-07-13,29.3,78.42857142857143
2009-07-20,29.52857142857143,78.24285714285715
2009-07-27,29.685714285714287,78.85714285714286
2009-08-03,31.085714285714285,72.3
2009-08-10,29.0,78.32857142857142
2009-08-17,29.485714285714288,77.5
2009-08-24,30.385714285714283,73.42857142857143
2009-08-31,29.67142857142857,72.44285714285715
2009-09-07,29.914285714285715,73.02857142857142
2009-09-14,29.485714285714288,79.15714285714286
2009-09-21,27.642857142857142,79.2
2009-09-28,27.857142857142858,70.94285714285715
2009-10-05,27.957142857142856,70.48571428571428
2009-10-12,25.442857142857143,80.27142857142857
2009-10-19,26.242857142857144,76.98571428571428
2009-10-26,26.042857142857144,80.51428571428572
2009-11-02,23.67142857142857,62.44285714285714
2009-11-09,24.728571428571428,73.55714285714285
2009-11-16,16.557142857142857,52.128571428571426
2009-11-23,21.400000000000002,78.45714285714287
2009-11-30,20.385714285714283,71.3
2009-12-07,22.985714285714288,81.95714285714287
2009-12-14,18.257142857142856,66.21428571428571
2009-12-21,19.285714285714285,76.47142857142856
2009-12-28,17.314285714285713,85.28571428571429
2010-01-04,18.62857142857143,83.34285714285714
2010-01-11,15.885714285714286,65.47142857142858
2010-01-18,17.942857142857143,87.55714285714285
2010-01-25,19.52857142857143,86.7
2010-02-01,24.385714285714283,86.2
2010-02-08,21.885714285714283,81.2
2010-02-15,14.014285714285714,73.58571428571429
2010-02-22,22.657142857142855,83.39999999999999
2010-03-01,24.900000000000002,83.14285714285714
2010-03-08,17.557142857142857,73.60000000000001
2010-03-15,21.75714285714286,87.45714285714287
2010-03-22,22.185714285714287,72.81428571428572
2010-03-29,22.099999999999998,89.18571428571428
2010-04-05,23.385714285714283,90.51428571428572
2010-04-12,21.685714285714287,88.17142857142858
2010-04-19,24.657142857142855,81.48571428571428
2010-04-26,24.357142857142858,83.17142857142858
2010-05-03,28.37142857142857,84.42857142857143
2010-05-10,27.400000000000002,84.58571428571429
2010-05-17,30.214285714285715,78.3
2010-05-24,28.157142857142855,84.07142857142857
2010-05-31,28.457142857142856,74.95714285714287
2010-06-07,29.714285714285715,81.47142857142856
2010-06-14,32.74285714285715,71.25714285714285
2010-06-21,29.942857142857143,81.74285714285715
2010-06-28,30.728571428571428,78.44285714285715
2010-07-05,32.8,68.11428571428571
2010-07-12,29.285714285714285,80.47142857142856
2010-07-19,28.74285714285714,85.57142857142857
2010-07-26,29.885714285714283,80.82857142857142
2010-08-02,28.914285714285715,82.07142857142857
2010-08-09,28.8,85.85714285714286
2010-08-16,28.228571428571428,85.84285714285714
2010-08-23,26.32857142857143,90.24285714285715
2010-08-30,29.74285714285714,79.08571428571429
2010-09-06,28.785714285714285,83.0
2010-09-13,27.814285714285713,83.18571428571428
2010-09-20,27.428571428571427,84.5
2010-09-27,28.099999999999998,79.02857142857144
2010-10-04,27.071428571428573,65.32857142857144
2010-10-11,26.514285714285712,83.52857142857144
2010-10-18,25.228571428571428,74.14285714285714
2010-10-25,21.67142857142857,66.38571428571429
2010-11-01,21.085714285714285,67.72857142857143
2010-11-08,22.614285714285717,67.62857142857142
2010-11-15,22.342857142857145,75.47142857142856
2010-11-22,20.728571428571428,80.87142857142858
2010-11-29,20.62857142857143,76.87142857142858
2010-12-06,20.685714285714287,78.21428571428571
2010-12-13,17.714285714285715,80.5
2010-12-20,18.82857142857143,82.37142857142858
2010-12-27,17.428571428571427,78.44285714285715
2011-01-03,12.428571428571429,78.74285714285715
2011-01-10,12.028571428571428,66.77142857142857
2011-01-17,11.771428571428572,75.58571428571429
2011-01-24,12.614285714285714,69.91428571428571
2011-01-31,16.17142857142857,73.37142857142858
2011-02-07,19.014285714285712,82.55714285714285
2011-02-14,15.228571428571428,83.65714285714286
2011-02-21,19.385714285714283,90.4
2011-02-28,18.428571428571427,92.12857142857142
2011-03-07,17.557142857142857,83.41428571428571
2011-03-14,14.742857142857144,94.25714285714285
2011-03-21,17.62857142857143,73.55714285714285
2011-03-28,18.985714285714288,80.58571428571429
2011-04-04,21.514285714285712,92.08571428571429
2011-04-11,24.17142857142857,87.38571428571429
2011-04-18,24.52857142857143,81.52857142857144
2011-04-25,25.642857142857142,87.18571428571428
2011-05-02,26.099999999999998,89.94285714285715
2011-05-09,27.54285714285714,86.88571428571429
2011-05-16,26.314285714285713,85.24285714285715
