name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2015-01-01,27.9,25,26.3,30.5,25,27.3,23,82.2,0.521,100,4.17,rain,0,0,32.8,18.9,11.8,1011.2,86.8,8.4,81.7,7.2,3,,2015-01-01T07:06:28,2015-01-01T19:09:19,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-02,30,24.7,27.1,33.1,24.7,28.6,22.3,75.8,0,0,0,,0,0,37.1,29.2,20.2,1011.7,87.1,9.6,124.2,10.7,4,,2015-01-02T07:06:56,2015-01-02T19:09:48,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-03,30.9,24.9,27.5,34.5,24.9,29.3,22.2,73.7,0,0,0,,0,0,31,22.5,3.3,1011,83.6,9.8,223.6,19.3,8,,2015-01-03T07:07:23,2015-01-03T19:10:16,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,48699099999,WMKJ,WSSL"
Singapore,2015-01-04,32,24.7,28.1,36.5,24.7,30.1,22,70.5,0,0,0,,0,0,31,19.7,348.1,1009.9,82.8,10.1,204,17.5,7,,2015-01-04T07:07:50,2015-01-04T19:10:44,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-05,32.6,25.7,28.3,36,25.7,30.6,22.3,70.6,0,0,0,,0,0,29.2,16,351.1,1009.2,87.2,10,127.5,11,4,,2015-01-05T07:08:17,2015-01-05T19:11:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-06,32.1,25,27.2,37.7,25,28.8,24,83.5,19.1,100,8.33,rain,0,0,42.5,15.8,3.8,1008.7,83.2,9,116.3,10.1,4,,2015-01-06T07:08:43,2015-01-06T19:11:39,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-07,31.3,24.9,26.9,35.8,24.9,28.4,23.8,83.8,19.1,100,8.33,rain,0,0,24.5,14.3,358.8,1009.3,84.4,9.4,152.8,13.1,6,,2015-01-07T07:09:09,2015-01-07T19:12:06,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-08,30.4,24.7,26.3,35.6,24.7,27.4,23.6,85.6,0.695,100,12.5,rain,0,0,40.7,16.6,16.2,1010.7,84.2,9.7,126.3,10.9,4,,2015-01-08T07:09:34,2015-01-08T19:12:32,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-09,27.6,24.6,25.4,30.4,24.6,25.8,23,87,0.348,100,8.33,rain,0,0,31.3,16.4,347.5,1011.9,89.5,9.6,83.7,7.2,3,,2015-01-09T07:09:59,2015-01-09T19:12:58,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-10,31.6,23.9,26.3,36.2,23.9,27.6,23,83,28.65,100,8.33,rain,0,0,29.9,18.2,15,1010.6,83.9,9.9,228.2,19.7,8,,2015-01-10T07:10:23,2015-01-10T19:13:24,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-11,29.9,24.8,27.2,34.9,24.8,29.3,23.4,80.7,0,0,0,,0,0,29.9,20.8,17.1,1010.7,85.8,10,68.4,6.1,2,,2015-01-11T07:10:46,2015-01-11T19:13:49,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-12,31.5,25.1,27.8,35.9,25.1,30.2,23.3,76.9,0,0,0,,0,0,34.6,25.7,21.1,1010.3,87.5,9.8,238.8,20.8,9,,2015-01-12T07:11:09,2015-01-12T19:14:13,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-13,31.9,25,27.9,34.7,25,29.6,22.4,73.5,0,0,0,,0,0,34.6,28.2,22.9,1010.6,85.8,9.7,257.9,22.3,9,,2015-01-13T07:11:31,2015-01-13T19:14:37,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
Singapore,2015-01-14,31,25.4,27.8,34.7,25.4,30,23,75.7,0,0,0,,0,0,35.3,25.3,26.5,1011.8,86.4,10,263.9,22.7,9,,2015-01-14T07:11:53,2015-01-14T19:15:00,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,WSSS,48694099999,96087099999,WIDD,48699099999,WMKJ,WSSL"
