name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
VietNam,2023-01-01,21.2,11.1,16.8,21.2,11.1,16.8,10.4,67.4,0,0,0,,0,0,11.2,13,334.6,1023.7,22.7,9.1,206.3,17.7,7,10,2023-01-01T06:33:38,2023-01-01T17:26:17,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
VietNam,2023-01-02,21,16,18,21,16,18,12.3,70,0,0,0,,0,0,20.2,14.8,37.3,1024.1,63.2,8.8,96.8,8.3,7,10,2023-01-02T06:33:58,2023-01-02T17:26:54,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
VietNam,2023-01-03,21,15,18.1,21,15,18.1,11.7,67.3,0.029,100,8.33,rain,0,0,31.7,16.6,37.8,1024.6,68.7,9.3,74.2,6.3,5,10,2023-01-03T06:34:16,2023-01-03T17:27:32,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
VietNam,2023-01-04,21,15.9,18.8,21,15.9,18.8,13.2,70.9,0,0,0,,0,0,25.2,14.8,122.3,1022.4,52.2,6.9,191.5,16.5,7,10,2023-01-04T06:34:33,2023-01-04T17:28:10,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
VietNam,2023-01-05,21.2,17,19.2,21.2,17,19.2,14.8,75.9,0,0,0,,0,0,14.8,14.8,66.4,1023.1,78.6,7.7,41.3,3.6,2,10,2023-01-05T06:34:48,2023-01-05T17:28:49,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
VietNam,2023-01-06,25,17,20.3,25,17,20.3,11.2,57.5,0,0,0,,0,0,46.4,25.9,11,1024.8,57.8,11,172.4,14.9,8,10,2023-01-06T06:35:03,2023-01-06T17:29:28,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
VietNam,2023-01-07,22.2,13,17.8,22.2,13,17.8,9.3,59.5,0,0,0,,0,0,25.2,9.4,317.7,1021.1,25.1,8.9,205.9,17.7,7,10,2023-01-07T06:35:16,2023-01-07T17:30:08,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
VietNam,2023-01-08,23,15.5,19.2,23,15.5,19.2,11.8,63.9,0,0,0,,0,0,23.8,14.8,211.5,1019,21.2,7.3,136.8,11.7,7,10,2023-01-08T06:35:28,2023-01-08T17:30:48,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48820099999,48823099999,48825099999,48831099999,VVNB"
VietNam,2023-01-09,23.2,17,20.3,23.2,17,20.3,15.3,73.9,0.002,100,4.17,rain,0,0,16.9,13,91.7,1018.9,49.1,5.7,91.2,7.9,4,10,2023-01-09T06:35:39,2023-01-09T17:31:28,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
VietNam,2023-01-10,23,18,20.1,23,18,20.1,17,83.1,1.409,100,4.17,rain,0,0,15.8,14.8,41.6,1017.9,77.3,5.4,21.1,1.8,1,10,2023-01-10T06:35:49,2023-01-10T17:32:08,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48820099999,48823099999,48825099999,48831099999,VVNB"
