name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
thailand,2013-01-01,30.6,18.6,25.8,31.6,18.6,26.2,17.5,61.4,0,0,0,,,,,17.9,67.3,1011.8,63.5,9.8,182.6,15.8,7,,2013-01-01T06:41:37,2013-01-01T18:01:26,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,48451099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2013-01-02,34.2,22.7,27.6,35.7,22.7,28.3,19.2,62.3,0,0,0,,,,,14.8,33,1011.8,45,9.1,232.5,20.2,8,,2013-01-02T06:41:59,2013-01-02T18:02:00,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2013-01-03,33,23.9,28.1,33.9,23.9,28.7,19,59.7,0,0,0,,,,,17,77.4,1012.2,48.3,9.2,237.8,20.5,8,,2013-01-03T06:42:21,2013-01-03T18:02:35,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2013-01-04,30.1,24,26.7,31.1,24,27.1,18.2,60.4,0,0,0,,,,,16.6,70.6,1010.8,68.8,9.1,222.6,19.4,8,,2013-01-04T06:42:41,2013-01-04T18:03:09,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2013-01-05,32.7,21,27.2,32.9,21,27.4,17.9,58.9,0,0,0,,,,,9.8,48,1009.9,47.1,9.1,227.3,19.5,8,,2013-01-05T06:43:01,2013-01-05T18:03:44,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2013-01-06,33,23.5,27.4,32.9,23.5,27.8,18.2,58.8,0,0,0,,,,,14.3,23.5,1010.4,63.9,9.1,231,20,8,,2013-01-06T06:43:20,2013-01-06T18:04:18,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2013-01-07,34.5,23,28,35.8,23,28.8,18.7,58.5,0,0,0,,,,33.5,11.6,345.8,1010.6,76.3,9.6,231.4,20,8,,2013-01-07T06:43:37,2013-01-07T18:04:53,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2013-01-08,34,23.9,28.4,34.8,23.9,29.2,19.8,61.5,0,0,0,,,,,9.4,0.7,1010.6,46.8,8.6,229.8,20,8,,2013-01-08T06:43:54,2013-01-08T18:05:27,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2013-01-09,34.5,23,28.2,37.3,23,29.3,20.2,63.6,0,0,0,,,,,10.3,129.9,1009.9,24.2,6.8,237.3,20.4,8,,2013-01-09T06:44:10,2013-01-09T18:06:02,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2013-01-10,34.9,23,28.5,37.4,23,30.6,21.7,68.8,0,0,0,,,,,13.4,168.3,1009.6,43.3,7.1,234.3,20.2,8,,2013-01-10T06:44:25,2013-01-10T18:06:36,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
