name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Singapore,2009-01-18,30.8,24.2,26.9,34.6,24.2,28.4,22.3,76.8,0,0,0,,,,,26.3,19.3,1011.6,83.4,10.9,,,,,2009-01-18T07:13:21,2009-01-18T19:16:36,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-19,30.8,23.7,26.6,33.3,23.7,27.6,22,77.1,0,0,0,,,,,27.2,18.5,1010.8,88.5,10.9,,,,,2009-01-19T07:13:39,2009-01-19T19:16:56,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-20,31.6,23.7,26.8,35.2,23.7,28.2,22,76.4,0,0,0,,,,,24.6,19.9,1010.2,84,10.8,,,,,2009-01-20T07:13:56,2009-01-20T19:17:15,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-21,31.3,23.7,26.9,35.5,23.7,28.4,22.2,76.4,0,0,0,,,,,25.7,20,1010.3,77.6,10.7,,,,,2009-01-21T07:14:12,2009-01-21T19:17:34,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-22,31.9,23.7,27.2,36.5,23.7,29.1,22.7,77.2,0,0,0,,,,,19.7,19.7,1009.1,79.6,10.9,,,,,2009-01-22T07:14:28,2009-01-22T19:17:51,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-23,32.3,24.5,27.6,37.4,24.5,29.9,23.4,78.8,0,0,0,,,,,21.3,19.2,1009.1,88.5,11,,,,,2009-01-23T07:14:42,2009-01-23T19:18:08,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-24,31.6,24.7,27.5,37.7,24.7,30.3,24.1,82.6,0,0,0,,,,,22.7,21.2,1009.6,83.1,10.9,,,,,2009-01-24T07:14:56,2009-01-24T19:18:24,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-25,29,25.5,26.8,34.1,25.5,28.6,24.5,87.5,0.087,100,4.17,rain,,,,21.7,26.7,1010.1,90.2,10.4,,,,,2009-01-25T07:15:09,2009-01-25T19:18:39,0.96,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-26,30.3,24.8,26.7,35.1,24.8,28.3,23.6,83.5,0.259,100,8.33,rain,,,,28.9,18.2,1010.6,87.6,9.7,,,,,2009-01-26T07:15:21,2009-01-26T19:18:54,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-27,31.2,23.8,27.1,35.5,23.8,28.7,22.5,76.9,0,0,0,,,,,25.2,13.9,1010.5,89.1,10.9,,,,,2009-01-27T07:15:32,2009-01-27T19:19:08,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-28,32,23.8,27.2,35.9,23.8,28.8,22.4,76.4,0,0,0,,,,,24.1,8.2,1009.6,84.6,10.9,,,,,2009-01-28T07:15:43,2009-01-28T19:19:21,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-29,31,24.8,27,34.8,24.8,28.4,22.3,76.4,0,0,0,,,,,21,12.7,1010,86.2,10.9,,,,,2009-01-29T07:15:53,2009-01-29T19:19:33,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-30,31.6,24.8,27.3,36.2,24.8,29,22.7,76.9,0,0,0,,,,,21.9,6.7,1009.5,88.4,10.8,,,,,2009-01-30T07:16:01,2009-01-30T19:19:44,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-01-31,31.1,24.9,27.1,35.7,24.9,28.7,22.7,77.3,0,0,0,,,,,26.6,6.8,1009.8,85.6,11,,,,,2009-01-31T07:16:09,2009-01-31T19:19:55,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-02-01,30.3,25.2,27.3,34.4,25.2,28.9,23.1,78.3,0,0,0,,,,,25.3,19.1,1010.5,86.2,10.9,,,,,2009-02-01T07:16:17,2009-02-01T19:20:05,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-02-02,31.9,23.8,27.3,36.4,23.8,29,22.5,76.2,0,0,0,,,,,25.7,13,1010.5,87.8,10.9,,,,,2009-02-02T07:16:23,2009-02-02T19:20:14,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-02-03,30.9,23.7,27,35.3,23.7,28.8,22.5,77.4,0,0,0,,,,,23.5,6.5,1010.4,88.3,10.9,,,,,2009-02-03T07:16:28,2009-02-03T19:20:22,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-02-04,31,23.9,26.6,35.6,23.9,28.2,23.3,82.7,2.206,100,4.17,rain,,,,20.3,18,1010.9,84.2,10.3,,,,,2009-02-04T07:16:33,2009-02-04T19:20:30,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,48694099999,96087099999,48699099999"
Singapore,2009-02-05,30.8,24.7,27,35.8,24.7,28.8,23.4,81.3,0,0,0,,,,,21.2,17.2,1010.6,88.9,10.9,,,,,2009-02-05T07:16:37,2009-02-05T19:20:36,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,48694099999,96087099999,48699099999"
