name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
thailand,2017-01-01,31.2,24,27,35,24,28,19.6,64.3,0,0,0,,0,0,32.8,23.2,8.3,1013.3,54.6,10.1,178.9,15.4,8,,2017-01-01T06:41:37,2017-01-01T18:01:26,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-02,31.7,23.2,27.5,35,23.2,28.9,20.6,67,0,0,0,,0,0,29.5,21.3,355.4,1012.4,42.1,10.1,168.2,14.6,8,,2017-01-02T06:41:59,2017-01-02T18:02:01,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-03,30.6,24.9,27.3,34.4,24.9,29,20.9,68.1,0,0,0,,0,0,29.2,17.5,24.3,1011.8,54.6,10.1,152.5,13.3,6,,2017-01-03T06:42:20,2017-01-03T18:02:35,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-04,30.3,24.2,27.5,34.2,24.2,29,20.9,67.9,0,0,0,,0,0,25.6,16.6,49.9,1010.5,48.9,9.9,162.9,14.2,7,,2017-01-04T06:42:41,2017-01-04T18:03:09,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-05,31.2,25,28.1,34.9,25,30,21.1,65.9,0.05,100,4.17,rain,0,0,40.7,19.1,7,1009.5,54.8,9.7,148.3,12.8,7,,2017-01-05T06:43:00,2017-01-05T18:03:44,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-06,30.1,24.2,26.8,34.1,24.2,28,21.5,73,0.003,100,4.17,rain,0,0,30.2,20,347.5,1009,53.5,9.9,82.8,6.9,3,,2017-01-06T06:43:19,2017-01-06T18:04:18,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-07,31,25,27.8,33.9,25,29.6,21.7,70.3,0,0,0,,0,0,24.5,14.7,357.9,1008,54.4,9.8,76.1,6.6,5,,2017-01-07T06:43:37,2017-01-07T18:04:53,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-08,28,25,26.7,31.6,25,28.4,22.9,79.8,0.274,100,12.5,rain,0,0,38.9,14.9,51.7,1008.1,58.7,9,69.8,6,4,,2017-01-08T06:43:54,2017-01-08T18:05:27,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-09,28,24,25.8,31.7,24,26.8,23.5,87.3,7.899,100,16.67,rain,0,0,28.1,18.9,14.7,1008.5,59.8,8.3,94.1,8,4,,2017-01-09T06:44:09,2017-01-09T18:06:02,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-10,27.3,24,25.7,31,24,26.8,24.3,91.7,31.165,100,29.17,rain,0,0,28.4,10.3,78.5,1009.4,64.3,6.1,56.8,4.8,2,,2017-01-10T06:44:24,2017-01-10T18:06:36,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-11,30.5,24.5,26.9,35.6,24.5,28.7,23.4,82.1,1.078,100,16.67,rain,0,0,34.9,18,145.7,1009.3,49.2,9.3,102.9,8.8,6,,2017-01-11T06:44:38,2017-01-11T18:07:11,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-12,31.5,24.2,27.5,36.6,24.2,30.2,23.9,81.6,0,0,0,,0,0,38.9,17.6,164.2,1008.3,43.8,9.6,190.4,16.4,7,,2017-01-12T06:44:50,2017-01-12T18:07:45,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-13,32,25.2,28.2,38.6,25.2,31,24.1,79.7,0.058,100,8.33,rain,0,0,18,12.9,241.6,1008.4,40.1,8.6,184.8,16,7,,2017-01-13T06:45:02,2017-01-13T18:08:19,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-14,33.1,24.2,28.7,39,24.2,31.3,23.2,73.6,0,0,0,,0,0,17.6,12.9,333.3,1009,31.6,9.2,196.3,17.1,7,,2017-01-14T06:45:13,2017-01-14T18:08:53,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-15,34,25.7,29.7,39.2,25.7,32.9,22.9,68.6,0.351,100,4.17,rain,0,0,22,14.8,350.6,1010.6,37.6,8.7,203.9,17.7,7,,2017-01-15T06:45:22,2017-01-15T18:09:26,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-16,33,25,29.1,37.4,25,31.6,22.2,67.7,0,0,0,,0,0,33.5,17,27.2,1010.5,35.5,9.7,213.5,18.4,8,,2017-01-16T06:45:31,2017-01-16T18:10:00,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-17,30.7,26.2,28.3,34.9,26.2,31.3,22.9,73.2,0.466,100,8.33,rain,0,0,28.4,16.6,72.4,1011.5,64.2,9.5,76.8,6.8,4,,2017-01-17T06:45:38,2017-01-17T18:10:33,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
thailand,2017-01-18,32.2,26,29.1,35.2,26,31.5,21.7,66,0,0,0,,0,0,53.6,24.1,78.4,1013.2,40.9,9.5,170.3,14.6,6,,2017-01-18T06:45:44,2017-01-18T18:11:06,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48429099999,48455099999,VTBS,VTBD,48453099999,48456099999,48454099999,48459099999,48420099999"
